accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.5544,0.557068982908147,0.5544,0.554292412430741,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.5532,0.578897740206938,0.5532,0.557200666598144,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.5532,0.559508065258136,0.5532,0.552498110298234,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.552,0.565130253250762,0.552,0.553688995089519,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.5516,0.564226410845384,0.5516,0.554612783251665,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.5452,0.546424110080895,0.5452,0.545347431434874,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.5432,0.558295498998893,0.5432,0.545843226875878,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.5424,0.573410861153494,0.5424,0.547480693395658,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.532,0.53634611097253,0.532,0.530555790883814,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.5224,0.526949795102826,0.5224,0.523468751962975,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.5072,0.525218536628826,0.5072,0.507812023611137,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.5004,0.517784568223748,0.5004,0.501298507651746,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.4996,0.519316722681119,0.4996,0.502795777884267,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.4964,0.499269181954341,0.4964,0.496874216585833,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.4932,0.509697691377669,0.4932,0.494837706575634,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.4916,0.507244655561793,0.4916,0.495356783506422,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.4912,0.493880071961283,0.4912,0.491781607549559,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
